host_response_rate,bathrooms,bedrooms,price,review_scores_rating,host_verifications_identity_manual,host_verifications_selfie,host_verifications_jumio,host_verifications_reviews,host_verifications_phone,host_verifications_offline_government_id,host_verifications_email,host_verifications_government_id,Verification_Numbers
1,1,1,20,4.79,1,1,0,1,1,1,1,1,7
1,1,1,85,5,0,0,0,1,1,0,1,0,3
0.94,1,2,158,4.79,0,0,1,1,1,0,1,1,5
0.94,1,4,279,4.4,0,0,1,1,1,0,1,1,5
1,1,1,165,4.71,0,0,1,1,1,1,1,1,6
0,1,1,55,4.67,0,0,1,1,1,1,1,1,6
1,1,1,65,4.86,0,0,0,1,1,1,1,1,5
1,1,1,39,4.9,1,1,1,1,1,1,1,1,8
1,1,3,199,4.92,0,0,0,1,1,0,1,0,3
1,1,1,149,4.93,0,0,0,1,1,0,1,0,3
1,1,1,125,4.84,0,0,0,1,1,0,1,0,3
1,1,1,64,4.92,0,0,0,1,1,0,1,0,3
1,1,1,73,4.54,0,0,1,1,1,0,1,1,5
1,1,2,103,5,0,0,0,1,1,0,1,0,3
1,1,1,70,4.78,0,0,0,1,1,0,1,0,3
1,1,2,45,4.78,0,0,0,1,1,0,1,0,3
1,1,2,90,4.7,0,0,0,1,1,0,1,0,3
1,1,2,220,4.87,0,0,0,1,1,0,1,0,3
1,1,1,124,4.9,0,0,1,1,1,1,1,1,6
0,1,2,86,4.82,0,0,0,1,1,0,1,0,3
1,1,2,95,4.6,0,0,0,1,1,0,1,0,3
0,1,1,75,4.42,0,0,0,1,1,0,1,0,3
0.9,1,1,71,4.58,1,1,1,1,1,0,1,1,7
1,0,1,153,4.67,0,0,1,1,1,1,1,1,6
0,1,2,155,0,1,1,0,1,1,1,1,1,7
1,1,2,195,4.68,0,0,0,1,1,1,1,1,5
1,1,1,75,4.97,0,0,0,1,1,1,1,1,5
0.94,1,1,279,5,0,0,0,1,1,0,1,0,3
0.94,1,3,379,5,0,0,0,1,1,0,1,0,3
0.94,1,4,479,4.9,0,0,0,1,1,0,1,0,3
0.94,1,4,479,5,0,0,0,1,1,0,1,0,3
0,1,2,71,4.19,1,1,0,1,1,1,1,1,7
1,1,1,69,4.89,0,0,0,1,1,0,1,0,3
1,1,1,115,4.52,0,0,1,1,1,1,1,1,6
1,1,1,140,0,0,0,1,1,1,1,1,1,6
1,1,1,239,4.58,0,0,0,1,1,0,1,0,3
0,1,1,229,4.87,0,0,0,1,1,0,1,0,3
1,1,2,53,4.85,0,0,0,1,1,0,1,0,3
1,1,2,200,4.69,0,0,1,1,1,1,1,1,6
0,1,1,100,4.93,0,0,0,1,1,0,1,0,3
1,1,3,415,4.94,0,0,1,1,1,0,1,1,5
1,1,3,351,4.98,0,0,1,1,1,0,1,1,5
1,1,5,439,4.98,0,0,1,1,1,0,1,1,5
1,1,3,475,4,0,1,0,1,1,1,1,1,6
1,1,1,58,4.62,0,0,0,1,1,0,1,0,3
0,1,1,36,4.5,0,0,0,1,1,0,1,0,3
1,1,3,246,4.78,0,0,0,1,1,0,1,0,3
0.98,1,1,80,4.56,0,0,1,1,1,1,1,1,6
1,1,1,75,4.95,0,0,0,1,1,1,1,1,5
1,1,1,38,4.87,0,1,0,1,1,1,1,1,6
1,1,1,139,4.44,1,1,0,1,1,1,1,1,7
1,1,1,35,4.51,1,1,0,1,1,1,1,1,7
1,1,1,128,4.59,0,0,1,1,1,0,1,1,5
1,1,3,210,4.91,0,0,1,1,1,1,1,1,6
1,1,1,81,4.73,0,0,1,1,1,1,1,1,6
1,1,2,228,4.89,0,0,1,1,1,0,1,1,5
1,1,1,150,4.57,0,0,1,1,1,1,1,1,6
0.78,1,1,113,5,0,1,0,1,1,1,1,1,6
1,1,1,325,4.98,0,0,1,1,1,0,1,1,5
0.9,1,2,139,4.97,0,0,1,1,1,0,1,1,5
0,1,1,65,4.77,1,1,1,1,1,1,1,1,8
1,1,1,81,4.73,0,0,1,1,1,0,1,1,5
1,1,1,60,3.33,0,0,0,1,1,0,1,0,3
1,1,1,140,5,0,0,1,1,1,1,1,1,6
1,1,1,151,4.83,0,0,1,1,1,0,1,1,5
1,1,2,225,5,0,0,1,1,1,1,1,1,6
1,1,1,62,4.56,0,1,0,1,1,1,1,1,6
0,1,1,57,4.84,0,0,1,1,1,0,1,1,5
1,1,1,29,4.75,0,0,0,1,1,0,1,0,3
0,1,1,80,4.77,0,0,0,1,1,0,1,0,3
0.9,1,1,65,4.88,1,1,0,1,1,1,1,1,7
1,1,1,45,3.67,0,0,0,1,1,0,1,0,3
1,1,1,58,4.88,1,1,1,1,1,1,1,1,8
1,1,1,120,4.92,0,0,1,1,1,1,1,1,6
0,1,3,125,4.94,0,0,1,1,1,1,1,1,6
1,1,1,160,4.71,0,0,1,1,1,1,1,1,6
1,1,1,80,4.95,0,0,1,1,1,0,1,1,5
1,1,2,200,4.25,0,0,1,1,1,1,1,1,6
1,1,1,87,4.67,0,0,1,1,1,1,1,1,6
0.91,1,3,203,4.72,0,0,1,1,1,0,1,1,5
1,1,3,118,4.76,0,0,0,1,1,0,1,0,3
1,1,1,120,4.8,0,0,1,1,1,1,1,1,6
1,1,1,95,4.8,0,1,0,1,1,1,1,1,6
0.9,1,1,90,4.81,0,0,0,1,1,0,1,0,3
0.9,1,2,89,4.79,0,0,0,1,1,0,1,0,3
1,1,1,110,4.71,0,0,1,1,1,0,1,1,5
1,1,2,200,4.57,0,0,1,1,1,1,1,1,6
0.93,1,1,33,4.81,0,0,0,1,1,1,1,1,5
1,1,1,135,4.67,0,0,1,1,1,1,1,1,6
1,1,1,155,5,0,0,1,1,1,1,1,1,6
1,1,2,119,4.88,1,1,1,1,1,1,1,1,8
1,1,1,84,4.91,0,0,1,1,1,1,1,1,6
1,1,2,193,4.95,0,1,1,1,1,1,1,1,7
1,1,1,136,4.9,0,0,0,1,1,0,1,0,3
1,1,1,34,4.84,1,1,0,1,1,1,1,1,7
0,1,1,159,5,0,0,1,1,1,0,1,1,5
0,1,1,200,4.83,0,0,0,1,1,0,1,0,3
1,1,2,70,4.84,0,0,1,1,1,0,1,1,5
1,1,1,55,4.85,0,0,1,1,1,0,1,1,5
1,1,2,150,4.94,0,0,1,1,1,0,1,1,5
0.95,1,2,164,4.67,0,0,0,1,1,1,1,1,5
1,1,2,135,4.95,0,0,0,1,1,0,1,0,3
1,1,1,97,4.5,0,0,1,1,1,1,1,1,6
0.83,1,1,150,4.9,0,0,0,1,1,0,1,0,3
0,1,2,71,4.1,1,1,0,1,1,1,1,1,7
0.75,1,6,1234,4.88,0,0,0,1,1,0,1,0,3
0,1,2,106,4.54,0,0,0,1,1,0,1,0,3
1,1,1,89,4.92,0,0,0,1,1,0,1,0,3
0.97,1,3,386,4.95,0,0,1,1,1,1,1,1,6
0.97,1,1,89,4.96,0,0,1,1,1,1,1,1,6
0.97,1,1,89,4.84,0,0,1,1,1,1,1,1,6
0.97,1,1,89,4.94,0,0,1,1,1,1,1,1,6
0,1,2,299,4.9,0,0,1,1,1,1,1,1,6
1,1,2,99,4.89,0,0,1,1,1,0,1,1,5
1,1,2,231,4.81,0,0,0,1,1,0,1,0,3
1,1,2,90,4.79,0,0,0,1,1,0,1,0,3
1,1,1,75,4.86,0,0,1,1,1,1,1,1,6
0.93,1,1,30,3.75,0,0,0,1,1,1,1,1,5
1,1,1,60,4.97,0,0,0,1,1,1,1,1,5
1,1,1,112,4.49,0,0,1,1,1,0,1,1,5
0,1,3,375,5,0,0,0,1,1,0,1,0,3
1,1,1,75,4.97,0,0,0,1,1,0,1,0,3
0,1,2,89,4.92,0,0,0,1,1,0,1,0,3
1,1,1,75,4.73,0,0,1,1,1,1,1,1,6
1,1,1,150,4.82,0,0,1,1,1,1,1,1,6
0.86,1,1,39,4.81,0,0,1,1,1,1,1,1,6
1,1,1,79,4.73,0,0,0,1,1,0,1,0,3
1,1,1,65,4.4,0,0,0,1,1,0,1,0,3
1,1,1,170,4.92,0,0,1,1,1,1,1,1,6
1,1,1,87,4.83,0,0,1,1,1,0,1,1,5
1,1,1,50,4.81,0,0,1,1,1,0,1,1,5
1,1,1,85,4.6,0,0,0,1,1,0,1,0,3
0,1,1,100,4.75,0,0,1,1,1,0,1,1,5
1,1,1,20,4.76,1,1,0,1,1,1,1,1,7
1,1,1,66,4.83,0,0,0,1,1,0,1,0,3
0,1,1,50,4.61,0,0,0,1,1,0,1,0,3
1,1,2,98,4.87,0,0,1,1,1,0,1,1,5
1,1,1,60,5,1,1,0,0,1,1,1,1,6
0,1,1,100,5,0,0,0,1,1,0,1,0,3
1,1,1,34,4.81,1,1,0,1,1,1,1,1,7
0,1,2,165,4.78,0,0,1,1,1,1,0,1,5
0,1,1,82,4.97,0,0,1,1,1,1,1,1,6
0,1,1,55,5,0,0,0,1,1,0,1,0,3
1,1,2,155,4.82,0,0,0,1,0,0,1,0,2
1,1,1,99,4.55,0,0,0,1,1,0,1,0,3
0,1,1,37,4.16,1,1,0,1,1,1,1,1,7
1,1,1,150,4.86,0,1,0,1,1,1,1,1,6
0,1,1,95,4.78,1,1,1,1,1,1,1,1,8
0,1,1,110,5,1,1,1,1,1,0,1,1,7
1,1,2,107,4.77,0,0,0,1,1,0,1,0,3
1,1,2,125,4.88,0,1,0,1,1,1,1,1,6
0,1,1,135,5,0,1,1,1,1,1,1,1,7
0,1,1,59,4.94,0,0,1,1,1,1,1,1,6
1,1,1,106,4.82,0,0,0,1,1,0,1,0,3
0,1,1,79,4.71,0,0,1,1,1,1,1,1,6
0,1,2,132,4.86,0,0,1,1,1,1,1,1,6
1,1,1,75,4.76,0,0,0,1,1,1,1,1,5
1,1,1,129,4.88,0,0,0,1,1,0,1,0,3
1,1,2,150,5,0,0,1,1,1,0,1,1,5
1,1,1,81,4.39,0,0,0,1,1,1,1,1,5
1,1,1,42,4.96,0,1,0,1,1,1,1,1,6
1,1,2,95,4.88,0,0,0,1,1,0,1,0,3
1,1,1,136,4.73,1,1,1,1,1,1,1,1,8
0,1,1,125,4.96,0,0,0,1,1,1,1,1,5
0,1,2,314,4.29,0,0,0,1,1,0,1,0,3
1,1,2,394,4.69,0,0,0,1,1,0,1,0,3
1,1,1,69,4.93,0,0,1,1,1,0,1,1,5
1,1,2,399,4.91,1,1,1,1,1,1,1,1,8
1,1,1,139,4.78,1,1,1,1,1,1,1,1,8
1,1,1,88,4.96,0,0,0,1,1,0,1,0,3
1,1,2,250,4.95,0,0,0,1,1,0,1,0,3
1,1,1,65,4.95,0,0,1,1,1,0,1,1,5
0,1,1,139,4.83,1,1,1,1,1,1,1,1,8
0.67,1,2,150,4.74,0,0,0,1,1,0,1,0,3
1,1,1,115,4.91,0,1,0,1,1,1,1,1,6
0,1,2,61,4.94,1,1,1,1,1,1,1,1,8
0.7,1,2,114,4.74,0,0,1,1,1,1,1,1,6
1,1,1,115,4.82,0,1,0,1,1,1,1,1,6
0,1,1,37,4.8,0,0,0,1,1,0,1,0,3
1,1,1,21,4.78,1,1,0,1,1,1,1,1,7
0.8,1,2,280,4.6,1,1,1,1,1,1,1,1,8
1,1,1,75,5,0,0,0,1,1,0,1,0,3
0,1,1,50,4.8,1,1,1,1,1,1,1,1,8
0.75,1,1,36,4.81,0,0,0,1,1,0,1,0,3
0,1,3,199,4.97,0,0,1,1,1,0,1,1,5
1,1,1,95,4.83,0,1,0,1,1,1,1,1,6
0.8,1,1,34,4.63,0,0,0,1,1,0,1,0,3
1,1,2,123,4.62,0,0,1,1,1,0,1,1,5
1,1,2,80,4.98,0,0,0,1,1,0,1,0,3
1,1,2,178,4.61,0,0,1,1,1,1,1,1,6
1,1,2,90,4.79,0,0,0,1,1,0,1,0,3
0.3,1,2,200,4.68,0,0,1,1,1,1,1,1,6
1,1,1,61,4.62,0,0,0,1,1,0,1,0,3
